word,homo_aae,homo_sae,freq
ache,0,0,27
ade,1,1,15
aid,1,1,6163
aide,1,1,1988
ant,1,0,18
ate,1,1,156
bad,1,0,5766
bade,1,0,3
badge,0,0,78
bail,1,1,516
bait,1,0,187
band,1,0,900
bare,1,1,261
barre,1,1,218
batch,0,0,182
beam,0,0,267
beast,0,0,96
beau,1,1,31
been,1,1,87806
bin,1,1,55
binge,0,0,250
blade,0,0,118
bled,0,0,32
blew,1,1,222
blind,0,0,550
blob,0,0,16
blood,0,0,2656
blue,1,1,4164
boat,0,0,880
boil,0,0,81
bold,1,0,564
bore,1,1,182
branch,0,0,2389
brand,1,0,2511
brash,0,0,111
bread,1,1,457
breath,0,0,245
bright,1,0,974
brink,0,0,242
brood,1,0,24
brought,1,0,5436
bud,1,0,242
bug,0,0,139
built,1,0,4603
bun,1,0,23
bunch,0,0,483
butt,1,1,76
cane,0,0,124
cant,1,0,15
cape,0,0,288
car,0,0,8623
cave,0,0,201
cell,1,1,631
charm,0,0,272
cheer,0,0,181
chest,1,0,386
chic,1,1,131
chide,0,0,8
child,0,0,3095
chomp,0,0,8
chop,0,0,58
chord,1,1,91
chose,0,0,1061
chuck,0,0,207
churn,0,0,54
chute,1,1,27
claim,0,0,3808
cloud,1,0,426
clout,1,0,562
cold,1,0,1456
cook,0,0,687
cost,1,0,17560
cough,0,0,126
coupe,1,1,152
crab,1,0,49
cram,0,0,62
crank,0,0,57
crept,0,0,100
crew,0,0,1038
cruise,0,0,807
cult,1,0,165
cur,0,0,0
curse,1,0,68
cute,0,0,153
cyst,0,0,7
deem,0,0,70
deft,1,0,61
dense,1,0,100
dent,1,0,160
din,1,0,48
dint,1,0,14
disc,1,1,98
disk,1,1,1371
dive,0,0,205
dodge,0,0,709
doll,0,0,180
dour,1,0,40
dove,0,0,85
dread,0,0,72
dress,0,0,555
drive,0,0,3685
dross,0,0,9
drove,0,0,803
drum,0,0,209
dry,0,0,1240
duck,1,0,390
